,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
334,Extras,Scott Westerfeld,2006,3.6,113566,1104,Uglies,4
335,An Unkindness of Ghosts,Rivers Solomon,2017,3.98,16630,1100,,
336,Parable of the Talents,Octavia E. Butler,1998,4.3,44134,1100,Earthseed,2
337,Babel-17,Samuel R. Delany,1966,3.74,15754,1088,,
338,Too Like the Lightning,Ada Palmer,2016,3.81,11965,1077,Terra Ignota,1
339,Six Wakes,Mur Lafferty,2017,3.83,15525,1072,,
340,Eon,Greg Bear,1985,3.88,27835,1069,The Way,1
341,Planet of the Apes,Pierre Boulle,1963,3.97,37825,1061,,
342,The Door Into Summer,Robert A. Heinlein,1957,4.01,24552,1056,,
343,Metro 2033,Dmitry Glukhovsky,2002,4.0,53619,1055,Metro,1
344,Rama II,Arthur C. Clarke,1989,3.7,25234,1052,Rama,2
